更新时间: 2026-01-27 04:16:28（北京时间）仅供娱乐,切勿商用。
兵团卫视,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/btws/51/20250804/index.m3u8?msisdn=20260127040208234c02fe7ed34ef8b127a0161e826736&mdspid=&spid=600697&netType=0&sid=5910022192&pid=2028597139&timestamp=20260127040208&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=956923145&ParentNodeID=-99&assertID=5910022192&client_ip=218.28.233.106&SecurityKey=20260127040208&promotionId=&mvid=5900006716&mcid=500020&playurlVersion=WX-A1-9.1.1.3-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=2554b3287c11149e7f67a97eb6d09b0e
山东教育卫视,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/sdjyws/51/20250915/index.m3u8?msisdn=20260127040214ce53f78b1e5f4e2e9c4716506a28d730&mdspid=&spid=600697&netType=0&sid=5910022199&pid=2028597139&timestamp=20260127040214&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=609154353&ParentNodeID=-99&assertID=5910022199&client_ip=218.28.233.106&SecurityKey=20260127040214&promotionId=&mvid=2200208305&mcid=500020&playurlVersion=WX-A1-9.1.1.3-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=61726fcfae55ee91339cbc6fce969d10
CHC动作电影,http://38.75.136.137:98/gslb/dsdqpub/chcdz.m3u8?auth=testpub
CHC家庭影院,http://38.75.136.137:98/gslb/dsdqpub/chcjt.m3u8?auth=testpub
CHC影迷电影,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/chcymdy/51/20250415/index.m3u8?msisdn=20260127020206472ec03b79094d68be962c6d045a970f&mdspid=&spid=699004&netType=0&sid=5910022176&pid=2028597139&timestamp=20260127020206&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=952383261&ParentNodeID=-99&assertID=5910022176&client_ip=218.28.233.106&SecurityKey=20260127020206&promotionId=&mvid=5900006704&mcid=500020&playurlVersion=WX-A1-9.1.1.3-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=d7a995139cfca9905d359b895b6b9713
经典香港电影,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/virtuallive/5100180869/150/index.m3u8?msisdn=20260127040213703d3f54d9ca4e6d8fc166ae0c68c9c4&mdspid=&spid=800033&netType=0&sid=5500242089&pid=2028597139&timestamp=20260127040213&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=625703337&ParentNodeID=-99&assertID=5500242089&client_ip=218.28.233.106&SecurityKey=20260127040213&promotionId=&mvid=5100180869&mcid=500020&playurlVersion=WX-A1-9.1.1.3-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=9611f7fd8816749c6d3a15e6b701c2bc
抗战经典影片,http://hlsztemgsplive.miguvideo.com:8080/wd-virtuallive5100002089-150/index.m3u8?msisdn=20260127020206d16f9f9d5adf4660aa5a0a3c71210d78&mdspid=&spid=800033&netType=0&sid=5500002717&pid=2028597139&timestamp=20260127020206&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=617432318&ParentNodeID=-99&assertID=5500002717&client_ip=218.28.233.106&SecurityKey=20260127020206&promotionId=&mvid=5100002089&mcid=500020&playurlVersion=WX-A1-9.1.1.3-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=2d27d93e5125ddaee90e0126cbf7fe0b
星空卫视,http://39.107.120.164:8080/live/diyp_xingkong.flv
CHANNEL[V],http://39.107.120.164:8080/live/diyp_channelv.flv
无线新闻台,https://lb1-live-mv.v2h-cdn.com/hls/fdca/tvbnews/tvbnews.m3u8
凤凰卫视香港台,http://mag.greatott.me:80/play/live.php?mac=00:1A:79:11:ED:45&stream=153402&extension=ts&play_token=Va2HtR9jUD
凤凰卫视香港台,http://tv.trexiptv.com:80/play/live.php?mac=00:1A:79:32:C6:2F&stream=153402&extension=ts&play_token=v43osRykOm
凤凰卫视香港台,http://tv.greatstar.me:80/play/live.php?mac=00:1A:79:E5:D4:63&stream=153402&extension=ts&play_token=vBulb9w1pg
凤凰卫视电影台,http://39.107.120.164:8080/live/diyp_fhdy.flv
快乐垂钓,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/ydcmklcd/51/20251225/index.m3u8?msisdn=20260127040207b44a8f29b7ed463f819ff4adafdb700c&mdspid=&spid=600603&netType=0&sid=5910022317&pid=2028597139&timestamp=20260127040207&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=961930263&ParentNodeID=-99&assertID=5910022317&client_ip=218.28.233.106&SecurityKey=20260127040207&promotionId=&mvid=5900006783&mcid=500020&playurlVersion=WX-A1-9.1.1.3-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=720d2a4f076bcc94c903dbfbff41c6f3
四海钓鱼,http://hlsztemgsplive.miguvideo.com:8080/wd_r4/peoplecn/shdiaoyu/1200/index.m3u8?msisdn=202601270402062d49674c167a4e8a8c160fca2260d4a3&mdspid=&spid=600697&netType=0&sid=5910022184&pid=2028597139&timestamp=20260127040206&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=637444975&ParentNodeID=-99&assertID=5910022184&client_ip=218.28.233.106&SecurityKey=20260127040206&promotionId=&mvid=5100132656&mcid=500020&playurlVersion=WX-A1-9.1.1.3-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=b7775571c7b6903035ec8ad762090a13
优漫卡通,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/jstv/ymkt/600/index.m3u8?msisdn=20260127040211c847bc480ad74e58a26c702406973cb2&mdspid=&spid=699067&netType=0&sid=5500260553&pid=2028597139&timestamp=20260127040211&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=626064703&ParentNodeID=-99&assertID=5500260553&client_ip=218.28.233.106&SecurityKey=20260127040211&promotionId=&mvid=5100186455&mcid=500020&playurlVersion=WX-A1-9.1.1.3-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=2340a937ed77bf3ff5bc3307805738c9
嘉佳卡通,http://hlsztemgsplive.miguvideo.com:8080/wd_r1/2018/nfmedia/jjkt/1000/index.m3u8?msisdn=20260127020207163518eb83dd4c6da1e2f7a467181bd3&mdspid=&spid=699054&netType=0&sid=2206172388&pid=2028597139&timestamp=20260127020207&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=614952364&ParentNodeID=-99&assertID=2206172388&client_ip=218.28.233.106&SecurityKey=20260127020207&promotionId=&mvid=2206172388&mcid=500020&playurlVersion=WX-A1-9.1.1.3-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=289f7637ce95874f03b4a666aee9c1ef
中国天气,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/zgtq/51/20251103/index.m3u8?msisdn=20260127040214878a8dff9d164879a75981effb10dc33&mdspid=&spid=600697&netType=0&sid=5910022296&pid=2028597139&timestamp=20260127040214&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=959986621&ParentNodeID=-99&assertID=5910022296&client_ip=218.28.233.106&SecurityKey=20260127040214&promotionId=&mvid=5900006772&mcid=500020&playurlVersion=WX-A1-9.1.1.3-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=27e3ef27ac50f92cbaa9a39b83ad19b6
台視,https://pxuchylhjchl.us-east-1.clawcloudrun.com/index.m3u8?pid=4gtv-4gtv066&sd=1080&proxy=false
台視,http://breezy-audrie-zspace-7524863c.koyeb.app/vipsir?token=leifeng&id=4gtv-4gtv066
台視,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv066
台視,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv066
台視,https://edgeone.passwdword.xyz/ofiii.php?token=passwd&id=4gtv-4gtv066
中視,http://tw-ty-line-11-1-5.sudatech.store:20319/4gtv-4gtv040/index.m3u8?proxy=true
中視,http://tw-ty-line-11-1-5.sudatech.store:20319/li-4gtv-4gtv040/index.m3u8?proxy=true
中視,http://breezy-audrie-zspace-7524863c.koyeb.app/vipsir?token=leifeng&id=4gtv-4gtv040
中視,https://4gtv.dxjc.pp.ua/of-4gtv-4gtv040/index.m3u8
中視,https://4gtv.dxjc.pp.ua/li-4gtv-4gtv040/index.m3u8
中視,https://pxuchylhjchl.us-east-1.clawcloudrun.com/index.m3u8?pid=4gtv-4gtv040&sd=1080&proxy=false
中視,http://tw-ty-line-11-1-5.sudatech.store:20319/of-4gtv-4gtv040/index.m3u8?proxy=true
中視,https://4gtv.dxjc.pp.ua/4gtv-4gtv040/index.m3u8
中視,https://mao.ffmking888.dpdns.org/?id=5Lit6KaW&auth=30234cedf871581989d3c91a3daec1e9f50e024aafcfa2247e7d44d91bb8d02fbc3f571b2d67f9d82642cc1d0f133d89
中視,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv040
中視,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv040
中視,https://edgeone.passwdword.xyz/ofiii.php?token=passwd&id=4gtv-4gtv040
華視,https://4gtv.dxjc.pp.ua/4gtv-4gtv041/index.m3u8
華視,https://4gtv.dxjc.pp.ua/li-4gtv-4gtv041/index.m3u8
華視,http://tw-ty-line-11-1-5.sudatech.store:20319/of-4gtv-4gtv041/index.m3u8?proxy=true
華視,https://pxuchylhjchl.us-east-1.clawcloudrun.com/index.m3u8?pid=4gtv-4gtv041&sd=1080&proxy=false
華視,http://breezy-audrie-zspace-7524863c.koyeb.app/vipsir?token=leifeng&id=4gtv-4gtv041
華視,https://4gtv.dxjc.pp.ua/of-4gtv-4gtv041/index.m3u8
華視,https://mao.ffmking888.dpdns.org/?id=6Iav6KaW&auth=30234cedf871581989d3c91a3daec1e9f50e024aafcfa2247e7d44d91bb8d02fbc3f571b2d67f9d82642cc1d0f133d89
華視,http://tw-ty-line-11-1-5.sudatech.store:20319/4gtv-4gtv041/index.m3u8?proxy=true
華視,http://tw-ty-line-11-1-5.sudatech.store:20319/li-4gtv-4gtv041/index.m3u8?proxy=true
華視,https://edgeone.passwdword.xyz/ofiii.php?token=passwd&id=4gtv-4gtv041
華視,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv041
華視,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv041
民視,https://mao.ffmking888.dpdns.org/?id=5rCR6KaW&auth=30234cedf871581989d3c91a3daec1e9f50e024aafcfa2247e7d44d91bb8d02fbc3f571b2d67f9d82642cc1d0f133d89
民視,http://breezy-audrie-zspace-7524863c.koyeb.app/vipsir?token=leifeng&id=4gtv-4gtv155
民視,http://breezy-audrie-zspace-7524863c.koyeb.app/vipsir?token=leifeng&id=4gtv-4gtv002
民視,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv155
民視,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv002
民視,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv002
民視,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv155
TVBS,http://breezy-audrie-zspace-7524863c.koyeb.app/vipsir?token=leifeng&id=4gtv-4gtv073
TVBS,https://mao.ffmking888.dpdns.org/?id=VFZCUwxx&auth=30234cedf871581989d3c91a3daec1e9f50e024aafcfa2247e7d44d91bb8d02fbc3f571b2d67f9d82642cc1d0f133d89
TVBS,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv073
TVBS,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv073
TVBS精采台,https://mao.ffmking888.dpdns.org/?id=VFZCUaeyvumHhaWPsAxx&auth=30234cedf871581989d3c91a3daec1e9f50e024aafcfa2247e7d44d91bb8d02fbc3f571b2d67f9d82642cc1d0f133d89
TVBS精采台,https://4gtv.dxjc.pp.ua/li-4gtv-4gtv067/index.m3u8
TVBS精采台,https://4gtv.dxjc.pp.ua/4gtv-4gtv067/index.m3u8
TVBS精采台,http://breezy-audrie-zspace-7524863c.koyeb.app/vipsir?token=leifeng&id=4gtv-4gtv067
TVBS精采台,http://tw-ty-line-11-1-5.sudatech.store:20319/li-4gtv-4gtv067/index.m3u8?proxy=true
TVBS精采台,http://tw-ty-line-11-1-5.sudatech.store:20319/4gtv-4gtv067/index.m3u8?proxy=true
TVBS精采台,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv067
TVBS精采台,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv067
TVBS歡樂台,https://4gtv.dxjc.pp.ua/li-4gtv-4gtv068/index.m3u8
TVBS歡樂台,http://tw-ty-line-11-1-5.sudatech.store:20319/4gtv-4gtv068/index.m3u8?proxy=true
TVBS歡樂台,http://breezy-audrie-zspace-7524863c.koyeb.app/vipsir?token=leifeng&id=4gtv-4gtv068
TVBS歡樂台,https://4gtv.dxjc.pp.ua/4gtv-4gtv068/index.m3u8
TVBS歡樂台,https://mao.ffmking888.dpdns.org/?id=VFZCUaatoeaoguWPsAxx&auth=30234cedf871581989d3c91a3daec1e9f50e024aafcfa2247e7d44d91bb8d02fbc3f571b2d67f9d82642cc1d0f133d89
TVBS歡樂台,http://tw-ty-line-11-1-5.sudatech.store:20319/li-4gtv-4gtv068/index.m3u8?proxy=true
TVBS歡樂台,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv068
TVBS歡樂台,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv068
TVBS新聞台,http://breezy-audrie-zspace-7524863c.koyeb.app/vipsir?token=leifeng&id=4gtv-4gtv072
TVBS新聞台,https://mao.ffmking888.dpdns.org/?id=VFZCUaaWsOiBngxx&auth=30234cedf871581989d3c91a3daec1e9f50e024aafcfa2247e7d44d91bb8d02fbc3f571b2d67f9d82642cc1d0f133d89
TVBS新聞台,https://4gtv.dxjc.pp.ua/li-4gtv-4gtv072/index.m3u8
TVBS新聞台,http://tw-ty-line-11-1-5.sudatech.store:20319/li-4gtv-4gtv072/index.m3u8?proxy=true
TVBS新聞台,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv072
TVBS新聞台,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv072
TVBS台劇台,https://4gtv.dxjc.pp.ua/4gtv-live088/index.m3u8
TVBS台劇台,https://mao.ffmking888.dpdns.org/?id=VFZCUaWPsOWKhaWPsAxx&auth=30234cedf871581989d3c91a3daec1e9f50e024aafcfa2247e7d44d91bb8d02fbc3f571b2d67f9d82642cc1d0f133d89
TVBS台劇台,http://tw-ty-line-11-1-5.sudatech.store:20319/4gtv-live088/index.m3u8?proxy=true
TVBS綜藝台,http://tw-ty-line-11-1-5.sudatech.store:20319/4gtv-live087/index.m3u8?proxy=true
TVBS綜藝台,https://4gtv.dxjc.pp.ua/4gtv-live087/index.m3u8
TVBS綜藝台,https://mao.ffmking888.dpdns.org/?id=VFZCUae2nOiXneWPsAxx&auth=30234cedf871581989d3c91a3daec1e9f50e024aafcfa2247e7d44d91bb8d02fbc3f571b2d67f9d82642cc1d0f133d89
民視新聞台,https://mao.ffmking888.dpdns.org/?id=5rCR6KaW5paw6IGe5Yaw&auth=30234cedf871581989d3c91a3daec1e9f50e024aafcfa2247e7d44d91bb8d02fbc3f571b2d67f9d82642cc1d0f133d89
民視新聞台,http://breezy-audrie-zspace-7524863c.koyeb.app/vipsir?token=leifeng&id=litv-ftv13
民視新聞台,https://tmxk.pp.ua/litv.php?token=tmxk&id=litv-ftv13
民視新聞台,http://xtvantsc.xyz/litv_ts.php?id=litv-ftv13
民視台灣台,http://breezy-audrie-zspace-7524863c.koyeb.app/vipsir?token=leifeng&id=4gtv-4gtv001
民視台灣台,https://4gtv.dxjc.pp.ua/li-4gtv-4gtv001/index.m3u8
民視台灣台,http://tw-ty-line-11-1-5.sudatech.store:20319/4gtv-4gtv001/index.m3u8?proxy=true
民視台灣台,https://mao.ffmking888.dpdns.org/?id=5rCR6KaW5Yaw54Gj5Yaw&auth=30234cedf871581989d3c91a3daec1e9f50e024aafcfa2247e7d44d91bb8d02fbc3f571b2d67f9d82642cc1d0f133d89
民視台灣台,http://tw-ty-line-11-1-5.sudatech.store:20319/li-4gtv-4gtv001/index.m3u8?proxy=true
民視台灣台,https://4gtv.dxjc.pp.ua/4gtv-4gtv001/index.m3u8
民視台灣台,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv001
民視台灣台,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv001
民視第一台,http://breezy-audrie-zspace-7524863c.koyeb.app/vipsir?token=leifeng&id=4gtv-4gtv003
民視第一台,http://tw-ty-line-11-1-5.sudatech.store:20319/li-4gtv-4gtv003/index.m3u8?proxy=true
民視第一台,https://4gtv.dxjc.pp.ua/4gtv-4gtv003/index.m3u8
民視第一台,https://mao.ffmking888.dpdns.org/?id=5rCR6KaW56ys5LiA5Yaw&auth=30234cedf871581989d3c91a3daec1e9f50e024aafcfa2247e7d44d91bb8d02fbc3f571b2d67f9d82642cc1d0f133d89
民視第一台,https://4gtv.dxjc.pp.ua/li-4gtv-4gtv003/index.m3u8
民視第一台,http://tw-ty-line-11-1-5.sudatech.store:20319/4gtv-4gtv003/index.m3u8?proxy=true
民視第一台,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv003
民視第一台,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv003
民視旅遊台,http://breezy-audrie-zspace-7524863c.koyeb.app/vipsir?token=leifeng&id=litv-ftv07
民視旅遊台,https://mao.ffmking888.dpdns.org/?id=5rCR6KaW5peF6YGK5Yaw&auth=30234cedf871581989d3c91a3daec1e9f50e024aafcfa2247e7d44d91bb8d02fbc3f571b2d67f9d82642cc1d0f133d89
民視旅遊台,https://tmxk.pp.ua/litv.php?token=tmxk&id=litv-ftv07
民視旅遊台,http://xtvantsc.xyz/litv_ts.php?id=litv-ftv07
民視綜藝台,https://mao.ffmking888.dpdns.org/?id=5rCR6KaW57ac6Jed5Yaw&auth=30234cedf871581989d3c91a3daec1e9f50e024aafcfa2247e7d44d91bb8d02fbc3f571b2d67f9d82642cc1d0f133d89
民視綜藝台,http://breezy-audrie-zspace-7524863c.koyeb.app/vipsir?token=leifeng&id=4gtv-4gtv004
民視綜藝台,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv004
民視綜藝台,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv004
民視影劇台,https://mao.ffmking888.dpdns.org/?id=5rCR6KaW5b2x5YqH5Yaw&auth=30234cedf871581989d3c91a3daec1e9f50e024aafcfa2247e7d44d91bb8d02fbc3f571b2d67f9d82642cc1d0f133d89
民視影劇台,http://breezy-audrie-zspace-7524863c.koyeb.app/vipsir?token=leifeng&id=litv-ftv09
民視影劇台,http://xtvantsc.xyz/litv_ts.php?id=litv-ftv09
民視影劇台,https://tmxk.pp.ua/litv.php?token=tmxk&id=litv-ftv09
中視菁采台,https://4gtv.dxjc.pp.ua/4gtv-4gtv064/index.m3u8
中視菁采台,http://breezy-audrie-zspace-7524863c.koyeb.app/vipsir?token=leifeng&id=4gtv-4gtv064
中視菁采台,http://tw-ty-line-11-1-5.sudatech.store:20319/4gtv-4gtv064/index.m3u8?proxy=true
中視菁采台,https://4gtv.dxjc.pp.ua/li-4gtv-4gtv064/index.m3u8
中視菁采台,https://mao.ffmking888.dpdns.org/?id=5Lit6KaW6IaB6YeH5Yaw&auth=30234cedf871581989d3c91a3daec1e9f50e024aafcfa2247e7d44d91bb8d02fbc3f571b2d67f9d82642cc1d0f133d89
中視菁采台,http://tw-ty-line-11-1-5.sudatech.store:20319/li-4gtv-4gtv064/index.m3u8?proxy=true
中視菁采台,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv064
中視菁采台,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv064
中視經典台,http://breezy-audrie-zspace-7524863c.koyeb.app/vipsir?token=leifeng&id=4gtv-4gtv080
中視經典台,http://tw-ty-line-11-1-5.sudatech.store:20319/4gtv-4gtv080/index.m3u8?proxy=true
中視經典台,https://mao.ffmking888.dpdns.org/?id=5Lit6KaW57aT5YW45Yaw&auth=30234cedf871581989d3c91a3daec1e9f50e024aafcfa2247e7d44d91bb8d02fbc3f571b2d67f9d82642cc1d0f133d89
中視經典台,http://tw-ty-line-11-1-5.sudatech.store:20319/li-4gtv-4gtv080/index.m3u8?proxy=true
中視經典台,https://4gtv.dxjc.pp.ua/4gtv-4gtv080/index.m3u8
中視經典台,https://4gtv.dxjc.pp.ua/li-4gtv-4gtv080/index.m3u8
中視經典台,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv080
中視經典台,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv080
中視新聞台,http://tw-ty-line-11-1-5.sudatech.store:20319/of-4gtv-4gtv074/index.m3u8?proxy=true
中視新聞台,https://4gtv.dxjc.pp.ua/of-4gtv-4gtv074/index.m3u8
中視新聞台,http://breezy-audrie-zspace-7524863c.koyeb.app/vipsir?token=leifeng&id=4gtv-4gtv074
中視新聞台,http://tw-ty-line-11-1-5.sudatech.store:20319/li-4gtv-4gtv074/index.m3u8?proxy=true
中視新聞台,http://tw-ty-line-11-1-5.sudatech.store:20319/4gtv-4gtv074/index.m3u8?proxy=true
中視新聞台,https://4gtv.dxjc.pp.ua/li-4gtv-4gtv074/index.m3u8
中視新聞台,https://4gtv.dxjc.pp.ua/4gtv-4gtv074/index.m3u8
中天亞洲台,http://tw-ty-line-11-1-5.sudatech.store:20319/4gtv-4gtv109/index.m3u8?proxy=true
中天亞洲台,http://breezy-audrie-zspace-7524863c.koyeb.app/vipsir?token=leifeng&id=4gtv-4gtv109
中天亞洲台,https://4gtv.dxjc.pp.ua/4gtv-4gtv109/index.m3u8
中天亞洲台,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv109
中天亞洲台,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv109
中天新聞台,http://tw-ty-line-11-1-5.sudatech.store:20319/4gtv-4gtv009/index.m3u8?proxy=true
中天新聞台,http://tw-ty-line-11-1-5.sudatech.store:20319/of-4gtv-4gtv009/index.m3u?proxy=true
中天新聞台,http://tw-ty-line-11-1-5.sudatech.store:20319/li-4gtv-4gtv009/index.m3u8?proxy=true
中天新聞台,https://4gtv.dxjc.pp.ua/li-4gtv-4gtv009/index.m3u8
中天新聞台,https://mao.ffmking888.dpdns.org/?id=5Lit5aSp5paw6IGe5Yaw&auth=30234cedf871581989d3c91a3daec1e9f50e024aafcfa2247e7d44d91bb8d02fbc3f571b2d67f9d82642cc1d0f133d89
中天新聞台,https://pxuchylhjchl.us-east-1.clawcloudrun.com/index.m3u8?pid=4gtv-4gtv009&sd=1080&proxy=false
中天新聞台,https://4gtv.dxjc.pp.ua/of-4gtv-4gtv009/index.m3u8
中天新聞台,http://breezy-audrie-zspace-7524863c.koyeb.app/vipsir?token=leifeng&id=4gtv-4gtv009
中天新聞台,https://4gtv.dxjc.pp.ua/4gtv-4gtv009/index.m3u8
中天新聞台,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv009
